Feature,PSI,PSI_Interpretation,KS_Statistic,KS_p_value
Reliability,1.9051663090330935,Significant drift,0.12264376043903603,0.7218697917931856
Throughput,0.9564699672042045,Significant drift,0.0688379861608208,0.9971193584934738
Successability,0.9406997529203982,Significant drift,0.10796945836315915,0.8454877830265335
Availability,0.598313821831578,Significant drift,0.0632307325220711,0.9991620200939377
Documentation,0.4402010701314691,Significant drift,0.20687186828919113,0.14060026660606562
Response Time,0.19005495841958076,Moderate drift,0.14626580768313052,0.5086471100503902
Compliance,0.06693674612053797,No drift,0.1096397041278931,0.8327112309513028
