Model,Accuracy,Accuracy_std,F1,F1_std,Precision,Precision_std,Recall,Recall_std,AUC,AUC_std
LogisticRegression_Tuned,0.5523809523809524,0.22041498687682132,0.49936507936507935,0.23658675580199337,0.4992063492063492,0.28720400868579504,0.5523809523809524,0.22041498687682132,0.8083333333333332,0.13625276076034135
RandomForest_Tuned,0.5476190476190477,0.16835875742536846,0.503015873015873,0.1693774262469644,0.5095238095238095,0.22040069787567979,0.5476190476190477,0.16835875742536846,0.8375,0.14215601757693316
XGBoost_Tuned,0.41904761904761906,0.1530120858386631,0.3734240362811792,0.1516223965805907,0.3571428571428571,0.1726076442137424,0.41904761904761906,0.1530120858386631,0.6984374999999999,0.15053314780460472
